region_code,region_name,actual_2025,forecast_2030,selected_model,pct_change,pct_change_min_across_models,pct_change_max_across_models
E12000001,North East,63211,63211,naive,0.0,-7.05431016753413,1.3565676860040183
E12000002,North West,209887,209887,naive,0.0,-0.013102288374220413,10.124686140637579
E12000003,Yorkshire and The Humber,172536,172536,naive,0.0,-0.0022603978300147097,15.591412806602674
E12000004,East Midlands,84013,84013,naive,0.0,-17.782962160618,1.3188435123135704
E12000005,West Midlands,127179,127179,naive,0.0,-2.3595090384418835,36.23058838330228
E12000006,East of England,91871,91871,naive,0.0,-9.48220874922445,2.804693537677828
E12000007,London,341009,341009,naive,0.0,-0.014017225351820145,15.598767187962784
E12000008,South East,117590,117011.5,ets_damped,-0.4919636023471384,-3.5292116676588146,0.0070584233353201044
E12000009,South West,133231,133231,naive,0.0,-0.023342915687794747,11.490944299750058
