geography,area_code,forecast_year,horizon_years,selected_model,selected_model_label,point_forecast,lower_80,upper_80,lower_95,upper_95
England,E92000001,2026,1,naive,Naive,1340527.000000,1260300.000000,1440785.400000,1130490.800000,1510647.500000
England,E92000001,2027,2,naive,Naive,1340527.000000,1179777.200000,1545556.400000,892904.250000,1634727.575000
England,E92000001,2028,3,naive,Naive,1340527.000000,1026076.200000,1625736.600000,805122.000000,1755252.250000
England,E92000001,2029,4,naive,Naive,1340527.000000,881080.000000,1740475.500000,726978.000000,1855036.875000
England,E92000001,2030,5,naive,Naive,1340527.000000,802345.800000,1841719.400000,671053.200000,1923915.200000
