region,area_code,model,model_label,horizon_years,forecast_origins,mae_households,rmse_households,mape_pct,bias_households
London,E12000007,naive,Naive,2,28,31154.785714,40777.527693,11.147393,-11343.928571
London,E12000007,naive,Naive,3,27,46512.555556,56761.020150,16.577553,-17190.703704
London,E12000007,naive,Naive,5,25,75735.880000,84263.802383,26.298683,-27038.760000
London,E12000007,drift,Drift,1,29,17778.085422,25828.652643,6.722991,-5866.793913
London,E12000007,drift,Drift,2,28,33392.341169,43781.356935,12.479542,-12038.953415
London,E12000007,drift,Drift,3,27,51306.430601,62768.474322,18.975009,-18454.859633
London,E12000007,drift,Drift,5,25,88123.816370,98405.080560,31.335809,-29748.192438
London,E12000007,linear_trend,Linear trend,1,29,56709.021413,65232.812358,20.913222,-16632.996958
London,E12000007,linear_trend,Linear trend,2,28,68556.938418,77621.312668,25.105067,-21679.824635
London,E12000007,linear_trend,Linear trend,3,27,81031.240736,90660.586566,29.326823,-27258.928784
London,E12000007,linear_trend,Linear trend,5,25,104272.179236,116900.639500,36.316837,-38439.229871
London,E12000007,ses,Simple exponential smoothing,1,29,17047.000080,24816.228111,6.226779,-5598.379395
London,E12000007,ses,Simple exponential smoothing,2,28,31154.785876,40777.527842,11.147393,-11343.928652
London,E12000007,ses,Simple exponential smoothing,3,27,46512.555730,56761.020283,16.577553,-17190.703778
London,E12000007,ses,Simple exponential smoothing,5,25,75735.880131,84263.802471,26.298683,-27038.760047
London,E12000007,holt,Holt linear trend,1,29,19305.572862,29535.992776,7.401336,-4155.969905
London,E12000007,holt,Holt linear trend,2,28,35347.121962,50405.585207,13.721209,-8870.327133
London,E12000007,holt,Holt linear trend,3,27,59983.994882,78361.866688,22.679689,-14928.625948
London,E12000007,holt,Holt linear trend,5,25,111993.973736,137368.185419,40.793601,-30559.624921
London,E12000007,damped_trend,Damped Holt trend,1,29,17966.604393,27924.311034,6.889347,-4394.312916
London,E12000007,damped_trend,Damped Holt trend,2,28,30610.566238,45086.328360,11.884407,-9263.898603
London,E12000007,damped_trend,Damped Holt trend,3,27,51387.069971,67692.682175,19.472455,-15127.086874
London,E12000007,damped_trend,Damped Holt trend,5,25,95042.512223,110091.127255,34.500345,-27974.889133
London,E12000007,arima,ARIMA,1,29,17047.000000,24816.227998,6.226779,-5598.379310
London,E12000007,arima,ARIMA,2,28,31154.785714,40777.527693,11.147393,-11343.928571
London,E12000007,arima,ARIMA,3,27,46512.555556,56761.020150,16.577553,-17190.703704
London,E12000007,arima,ARIMA,5,25,75735.880000,84263.802383,26.298683,-27038.760000
North East,E12000001,naive,Naive,1,29,7898.275862,10894.337488,10.715417,655.586207
North East,E12000001,naive,Naive,2,28,11105.428571,15393.725955,15.528069,879.928571
North East,E12000001,naive,Naive,3,27,13552.222222,17333.073829,18.784335,641.037037
North East,E12000001,naive,Naive,5,25,18404.200000,22009.050819,26.327955,1676.600000
North East,E12000001,drift,Drift,1,29,7778.559948,11147.240911,10.448928,-561.009175
North East,E12000001,drift,Drift,2,28,11241.402777,16257.937486,15.350086,-1584.337538
North East,E12000001,drift,Drift,3,27,14132.858493,19078.217588,18.977293,-3127.096047
North East,E12000001,drift,Drift,5,25,20129.410767,25927.078765,27.299704,-4580.567618
North East,E12000001,linear_trend,Linear trend,1,29,13714.492059,16072.719939,19.771108,1120.098003
North East,E12000001,linear_trend,Linear trend,2,28,16165.455693,18638.881204,23.292323,850.267743
North East,E12000001,linear_trend,Linear trend,3,27,18166.110107,20749.516182,26.221229,440.978374
North East,E12000001,linear_trend,Linear trend,5,25,21878.179609,24285.372200,31.637464,-602.993920
North East,E12000001,ses,Simple exponential smoothing,1,29,8138.667062,11151.010587,11.041800,895.977446
North East,E12000001,ses,Simple exponential smoothing,2,28,11351.260181,15663.007861,15.886137,1125.760227
North East,E12000001,ses,Simple exponential smoothing,3,27,13807.158746,17619.524482,19.170439,895.973583
North East,E12000001,ses,Simple exponential smoothing,5,25,18679.531484,22364.571597,26.810858,1951.931468
North East,E12000001,holt,Holt linear trend,1,29,9173.493667,13247.726524,12.228241,974.646578
North East,E12000001,holt,Holt linear trend,2,28,13574.607980,19450.950536,18.172124,1019.164758
North East,E12000001,holt,Holt linear trend,3,27,17406.226862,24548.211510,23.054239,640.589113
North East,E12000001,holt,Holt linear trend,5,25,25818.157636,36374.480400,34.927754,1724.098495
North East,E12000001,damped_trend,Damped Holt trend,1,29,9053.203737,12790.816285,12.131102,1156.653965
North East,E12000001,damped_trend,Damped Holt trend,2,28,12980.217640,18223.248118,17.609748,1205.992376
North East,E12000001,damped_trend,Damped Holt trend,3,27,16373.262756,21871.777054,22.076929,690.166497
North East,E12000001,damped_trend,Damped Holt trend,5,25,23682.305622,30009.140346,32.615561,1289.217748
North East,E12000001,arima,ARIMA,1,29,8038.389736,11001.750304,10.917405,806.430730
North East,E12000001,arima,ARIMA,2,28,11240.189369,15485.237225,15.735919,1036.160399
North East,E12000001,arima,ARIMA,3,27,13657.369666,17352.424188,18.973431,803.055228
North East,E12000001,arima,ARIMA,5,25,18403.291919,21961.328267,26.377502,1851.579646
North West,E12000002,naive,Naive,1,29,12560.862069,15335.793832,6.822684,-2252.862069
North West,E12000002,naive,Naive,2,28,19431.500000,24378.270485,10.367564,-5280.857143
North West,E12000002,naive,Naive,3,27,27148.555556,33775.887482,14.251467,-8419.148148
North West,E12000002,naive,Naive,5,25,38289.400000,48388.462403,19.274737,-14104.840000
North West,E12000002,drift,Drift,1,29,12929.330503,16055.346857,7.059682,-3457.207436
North West,E12000002,drift,Drift,2,28,20915.737194,26871.431060,11.211614,-7797.875636
North West,E12000002,drift,Drift,3,27,30626.025935,38770.904798,16.138495,-12359.312717
North West,E12000002,drift,Drift,5,25,46616.366175,60724.045571,23.566498,-21020.874208
North West,E12000002,linear_trend,Linear trend,1,29,31187.948554,41121.730379,15.913535,-13841.991788
North West,E12000002,linear_trend,Linear trend,2,28,37124.937124,49213.010594,18.678689,-18243.682018
North West,E12000002,linear_trend,Linear trend,3,27,43878.853768,57775.399554,21.776548,-23039.979986
North West,E12000002,linear_trend,Linear trend,5,25,58308.234664,75132.223013,28.092660,-34574.808815
North West,E12000002,ses,Simple exponential smoothing,1,29,12560.862138,15335.793894,6.822684,-2252.862097
North West,E12000002,ses,Simple exponential smoothing,2,28,19431.500091,24378.270573,10.367564,-5280.857170
North West,E12000002,ses,Simple exponential smoothing,3,27,27148.555600,33775.887546,14.251467,-8419.148168
North West,E12000002,ses,Simple exponential smoothing,5,25,38289.400054,48388.462456,19.274737,-14104.840021
North West,E12000002,holt,Holt linear trend,1,29,13022.313265,17006.613383,7.161647,-80.055985
North West,E12000002,holt,Holt linear trend,2,28,23463.969133,28814.881354,12.632766,-1431.546283
North West,E12000002,holt,Holt linear trend,3,27,38898.678242,44365.674478,20.343513,-3233.946072
North West,E12000002,holt,Holt linear trend,5,25,64963.220718,74702.269757,32.899810,-3436.435421
North West,E12000002,damped_trend,Damped Holt trend,1,29,12243.796687,16027.572559,6.751314,-909.646242
North West,E12000002,damped_trend,Damped Holt trend,2,28,19333.676983,25390.543055,10.591591,-3613.961459
North West,E12000002,damped_trend,Damped Holt trend,3,27,29773.498246,37470.217560,15.925094,-7079.306019
North West,E12000002,damped_trend,Damped Holt trend,5,25,45812.539843,58017.226553,23.827371,-12572.233684
North West,E12000002,arima,ARIMA,1,29,12560.862069,15335.793832,6.822684,-2252.862069
North West,E12000002,arima,ARIMA,2,28,19431.500000,24378.270485,10.367564,-5280.857143
North West,E12000002,arima,ARIMA,3,27,27148.555556,33775.887482,14.251467,-8419.148148
North West,E12000002,arima,ARIMA,5,25,38289.400000,48388.462403,19.274737,-14104.840000
South East,E12000008,naive,Naive,1,29,9472.448276,13358.993666,5.993949,-361.482759
South East,E12000008,naive,Naive,2,28,18853.892857,23686.540068,11.925448,-940.178571
South East,E12000008,naive,Naive,3,27,28098.777778,33818.693866,17.923460,-1472.185185
South East,E12000008,naive,Naive,5,25,45414.880000,52320.747132,29.528983,-1611.520000
South East,E12000008,drift,Drift,1,29,9374.670101,13707.282498,6.049122,780.708310
South East,E12000008,drift,Drift,2,28,18778.564263,24895.039705,12.234832,1442.506790
South East,E12000008,drift,Drift,3,27,28562.744254,36353.297982,18.922637,2261.198833
South East,E12000008,drift,Drift,5,25,49035.698415,58778.476797,32.965060,5261.413082
South East,E12000008,linear_trend,Linear trend,1,29,44980.416168,50328.853905,31.739099,8304.182346
South East,E12000008,linear_trend,Linear trend,2,28,53197.006511,58309.517482,37.362150,7964.476500
South East,E12000008,linear_trend,Linear trend,3,27,61646.419200,66654.459165,43.067249,7423.303823
South East,E12000008,linear_trend,Linear trend,5,25,78437.150455,83713.423271,54.027074,5848.572006
South East,E12000008,ses,Simple exponential smoothing,1,29,9472.448378,13358.993768,5.993950,-361.482768
South East,E12000008,ses,Simple exponential smoothing,2,28,18853.892976,23686.540180,11.925448,-940.178581
South East,E12000008,ses,Simple exponential smoothing,3,27,28098.777884,33818.693969,17.923460,-1472.185194
South East,E12000008,ses,Simple exponential smoothing,5,25,45414.880097,52320.747226,29.528983,-1611.520006
South East,E12000008,holt,Holt linear trend,1,29,8856.403260,12398.181395,5.990531,-783.728008
South East,E12000008,holt,Holt linear trend,2,28,16688.287129,22578.365453,11.231431,-1519.144494
South East,E12000008,holt,Holt linear trend,3,27,27313.903957,35480.503576,18.290421,-2315.276837
South East,E12000008,holt,Holt linear trend,5,25,53486.386292,63015.106954,36.688862,-1794.942858
South East,E12000008,damped_trend,Damped Holt trend,1,29,8636.525676,12161.997994,5.736415,-341.032766
South East,E12000008,damped_trend,Damped Holt trend,2,28,15073.249007,21415.621591,9.810587,62.121197
South East,E12000008,damped_trend,Damped Holt trend,3,27,25637.490139,32654.428749,16.481301,806.809975
South East,E12000008,damped_trend,Damped Holt trend,5,25,44541.874991,54249.703032,28.713939,4663.964506
South East,E12000008,arima,ARIMA,1,29,9088.873472,13528.779863,5.711943,-388.821480
South East,E12000008,arima,ARIMA,2,28,18498.416868,24167.790480,11.653791,-706.234173
South East,E12000008,arima,ARIMA,3,27,28792.103045,35280.867035,18.254263,-945.766563
South East,E12000008,arima,ARIMA,5,25,46854.287762,55266.641000,30.518750,-420.731196
South West,E12000009,naive,Naive,1,29,9382.379310,14649.617318,7.045846,-1667.068966
South West,E12000009,naive,Naive,2,28,16895.142857,23590.458922,12.524425,-3359.071429
South West,E12000009,naive,Naive,3,27,24593.148148,31590.144612,18.417305,-5091.074074
South West,E12000009,naive,Naive,5,25,36261.520000,42806.220604,27.783675,-7983.600000
South West,E12000009,drift,Drift,1,29,9262.882591,14882.104232,6.972481,-24.255257
South West,E12000009,drift,Drift,2,28,16596.325102,24408.296856,12.494183,-39.241102
South West,E12000009,drift,Drift,3,27,24757.429482,33299.955498,18.950868,-61.310233
South West,E12000009,drift,Drift,5,25,36228.554357,46975.900283,29.040433,714.529703
South West,E12000009,linear_trend,Linear trend,1,29,28271.536774,34290.669667,22.209573,4458.407144
South West,E12000009,linear_trend,Linear trend,2,28,33312.674867,39548.081537,26.088939,4257.537582
South West,E12000009,linear_trend,Linear trend,3,27,38825.868996,44745.421512,30.239795,3996.319852
South West,E12000009,linear_trend,Linear trend,5,25,49973.223547,54665.870774,38.365511,2808.124102
South West,E12000009,ses,Simple exponential smoothing,1,29,9546.858622,14701.541138,7.225364,-1746.947944
South West,E12000009,ses,Simple exponential smoothing,2,28,16977.874714,23695.364429,12.589915,-3441.803228
South West,E12000009,ses,Simple exponential smoothing,3,27,24833.571277,31744.628272,18.647592,-5176.870010
South West,E12000009,ses,Simple exponential smoothing,5,25,36354.179639,43017.547684,27.816074,-8076.259602
South West,E12000009,holt,Holt linear trend,1,29,11508.434098,18537.833710,8.563508,-347.454244
South West,E12000009,holt,Holt linear trend,2,28,20505.901266,31096.642502,15.525840,-556.125867
South West,E12000009,holt,Holt linear trend,3,27,30902.642623,44928.492906,24.090907,-789.007339
South West,E12000009,holt,Holt linear trend,5,25,47053.225191,68087.234056,38.622381,-471.094748
South West,E12000009,damped_trend,Damped Holt trend,1,29,11157.914840,17573.527808,8.291851,-234.217281
South West,E12000009,damped_trend,Damped Holt trend,2,28,19474.300534,28531.108390,14.591336,9.643541
South West,E12000009,damped_trend,Damped Holt trend,3,27,29211.206029,39973.773637,22.416997,498.028392
South West,E12000009,damped_trend,Damped Holt trend,5,25,40938.602783,55372.145576,33.229150,2979.205097
South West,E12000009,arima,ARIMA,1,29,9523.594879,14677.118422,7.118498,-1525.853397
South West,E12000009,arima,ARIMA,2,28,17187.660382,23934.149018,12.695131,-3066.553904
South West,E12000009,arima,ARIMA,3,27,25048.174727,32715.898532,18.790961,-4636.047495
South West,E12000009,arima,ARIMA,5,25,37080.565388,44635.310033,28.543577,-7164.554612
West Midlands,E12000005,naive,Naive,1,29,10012.965517,13357.121247,8.001464,-1052.344828
West Midlands,E12000005,naive,Naive,2,28,16533.571429,21705.406836,12.939204,-1963.571429
West Midlands,E12000005,naive,Naive,3,27,21258.407407,28389.812695,17.157829,-2763.962963
West Midlands,E12000005,naive,Naive,5,25,33142.000000,40841.251404,27.521755,-3716.560000
West Midlands,E12000005,drift,Drift,1,29,10511.092910,13833.086462,8.475490,-1909.818070
West Midlands,E12000005,drift,Drift,2,28,18497.380710,23183.283064,14.800602,-3709.924304
West Midlands,E12000005,drift,Drift,3,27,25064.474797,31182.321659,20.721973,-5419.940892
West Midlands,E12000005,drift,Drift,5,25,40386.103482,47203.699740,33.996929,-8185.085483
West Midlands,E12000005,linear_trend,Linear trend,1,29,26149.185444,31328.261597,21.263288,-6570.234153
West Midlands,E12000005,linear_trend,Linear trend,2,28,31050.325824,36708.064215,25.085355,-8989.746146
West Midlands,E12000005,linear_trend,Linear trend,3,27,35763.161637,42107.479267,28.730294,-11566.972926
West Midlands,E12000005,linear_trend,Linear trend,5,25,45941.977611,52904.053940,36.164774,-17219.171379
West Midlands,E12000005,ses,Simple exponential smoothing,1,29,10012.965555,13357.121305,8.001464,-1052.344835
West Midlands,E12000005,ses,Simple exponential smoothing,2,28,16533.571460,21705.406880,12.939204,-1963.571434
West Midlands,E12000005,ses,Simple exponential smoothing,3,27,21258.407450,28389.812745,17.157829,-2763.962964
West Midlands,E12000005,ses,Simple exponential smoothing,5,25,33142.000038,40841.251412,27.521755,-3716.559997
West Midlands,E12000005,holt,Holt linear trend,1,29,10616.098926,14664.898197,8.589861,-772.322488
West Midlands,E12000005,holt,Holt linear trend,2,28,20714.803016,27397.136504,17.093078,-1290.049228
West Midlands,E12000005,holt,Holt linear trend,3,27,30756.703465,38796.286653,25.768006,-1619.132584
West Midlands,E12000005,holt,Holt linear trend,5,25,53468.555051,63372.559910,45.620719,-1278.768768
West Midlands,E12000005,damped_trend,Damped Holt trend,1,29,11197.263860,14888.464111,9.186029,-1126.473636
West Midlands,E12000005,damped_trend,Damped Holt trend,2,28,20600.211344,26011.774463,16.862926,-2436.303795
West Midlands,E12000005,damped_trend,Damped Holt trend,3,27,28068.652442,34369.489310,23.432877,-3694.566396
West Midlands,E12000005,damped_trend,Damped Holt trend,5,25,44333.117775,52110.872077,37.624414,-6250.579048
West Midlands,E12000005,arima,ARIMA,1,29,10012.965517,13357.121247,8.001464,-1052.344828
West Midlands,E12000005,arima,ARIMA,2,28,16533.571429,21705.406836,12.939204,-1963.571429
West Midlands,E12000005,arima,ARIMA,3,27,21258.407407,28389.812695,17.157829,-2763.962963
West Midlands,E12000005,arima,ARIMA,5,25,33142.000000,40841.251404,27.521755,-3716.560000
Yorkshire and The Humber,E12000003,naive,Naive,1,29,13435.448276,21190.958921,6.957218,-269.724138
Yorkshire and The Humber,E12000003,naive,Naive,2,28,23804.500000,33365.142014,12.433645,-230.357143
Yorkshire and The Humber,E12000003,naive,Naive,3,27,33480.444444,46009.918375,17.725947,724.296296
Yorkshire and The Humber,E12000003,naive,Naive,5,25,52047.760000,67724.012853,27.877138,1996.880000
Yorkshire and The Humber,E12000003,drift,Drift,1,29,13476.152088,21658.972922,7.020314,1330.180143
Yorkshire and The Humber,E12000003,drift,Drift,2,28,24853.576576,34893.447328,13.091032,3059.948443
Yorkshire and The Humber,E12000003,drift,Drift,3,27,36223.293517,49212.605425,19.314556,5874.821035
Yorkshire and The Humber,E12000003,drift,Drift,5,25,56447.116423,75670.893801,31.088147,11348.483017
Yorkshire and The Humber,E12000003,linear_trend,Linear trend,1,29,44248.373581,53364.735286,25.514237,18794.831703
Yorkshire and The Humber,E12000003,linear_trend,Linear trend,2,28,52110.677655,61738.610562,29.956539,21042.580089
Yorkshire and The Humber,E12000003,linear_trend,Linear trend,3,27,60133.344950,70177.601410,34.486389,23463.532611
Yorkshire and The Humber,E12000003,linear_trend,Linear trend,5,25,74195.722368,85466.263496,42.552562,27671.903190
Yorkshire and The Humber,E12000003,ses,Simple exponential smoothing,1,29,13435.448387,21190.958981,6.957218,-269.724135
Yorkshire and The Humber,E12000003,ses,Simple exponential smoothing,2,28,23804.500117,33365.142121,12.433645,-230.357128
Yorkshire and The Humber,E12000003,ses,Simple exponential smoothing,3,27,33480.444534,46009.918460,17.725947,724.296310
Yorkshire and The Humber,E12000003,ses,Simple exponential smoothing,5,25,52047.760100,67724.012925,27.877138,1996.880015
Yorkshire and The Humber,E12000003,holt,Holt linear trend,1,29,16131.134254,24058.875436,8.760808,-697.719154
Yorkshire and The Humber,E12000003,holt,Holt linear trend,2,28,32558.794722,42420.434396,17.846876,-1354.006270
Yorkshire and The Humber,E12000003,holt,Holt linear trend,3,27,49667.058182,62681.040641,27.495423,-1107.277344
Yorkshire and The Humber,E12000003,holt,Holt linear trend,5,25,82052.935355,105187.076678,46.687708,-1401.343894
Yorkshire and The Humber,E12000003,damped_trend,Damped Holt trend,1,29,14853.878558,22506.640883,7.994466,-515.126423
Yorkshire and The Humber,E12000003,damped_trend,Damped Holt trend,2,28,28657.594146,37935.732514,15.619181,-807.213656
Yorkshire and The Humber,E12000003,damped_trend,Damped Holt trend,3,27,42686.864699,53755.500579,23.428198,33.571542
Yorkshire and The Humber,E12000003,damped_trend,Damped Holt trend,5,25,66888.060847,82632.671177,37.503340,1619.938198
Yorkshire and The Humber,E12000003,arima,ARIMA,1,29,13435.448276,21190.958921,6.957218,-269.724138
Yorkshire and The Humber,E12000003,arima,ARIMA,2,28,23804.500000,33365.142014,12.433645,-230.357143
Yorkshire and The Humber,E12000003,arima,ARIMA,3,27,33480.444444,46009.918375,17.725947,724.296296
Yorkshire and The Humber,E12000003,arima,ARIMA,5,25,52047.760000,67724.012853,27.877138,1996.880000
