region_code,region_name,model,horizon_years,n_origins,first_origin_year,last_origin_year,mae,rmse,mape_pct,mean_error_bias
E12000004,East Midlands,drift,5,25,1996,2020,24118.4,27894.8,24.99,3250.4
E12000004,East Midlands,ets_damped,5,25,1996,2020,24548.5,28576.5,24.67,1250.2
E12000004,East Midlands,holt,5,25,1996,2020,33036.7,40012.0,33.97,-4412.8
E12000004,East Midlands,linear_trend,5,25,1996,2020,25476.2,30458.2,27.08,4895.8
E12000004,East Midlands,naive,5,25,1996,2020,20725.6,25131.6,21.7,4043.7
E12000004,East Midlands,ses,5,25,1996,2020,20737.8,25149.8,21.72,4057.5
E12000005,West Midlands,arima,1,29,1996,2024,12006.1,15679.0,9.63,-654.5
E12000005,West Midlands,drift,1,29,1996,2024,10511.1,13833.1,8.48,-1909.8
E12000005,West Midlands,ets_damped,1,29,1996,2024,11197.3,14888.5,9.19,-1126.5
E12000005,West Midlands,holt,1,29,1996,2024,10959.3,15321.6,8.92,226.9
E12000005,West Midlands,linear_trend,1,29,1996,2024,26149.2,31328.3,21.26,-6570.2
E12000005,West Midlands,naive,1,29,1996,2024,10013.0,13357.1,8.0,-1052.3
E12000005,West Midlands,ses,1,29,1996,2024,10038.3,13397.0,8.02,-1057.0
E12000005,West Midlands,arima,2,28,1996,2023,21950.9,30485.4,17.24,-1453.3
E12000005,West Midlands,drift,2,28,1996,2023,18497.4,23183.3,14.8,-3709.9
E12000005,West Midlands,ets_damped,2,28,1996,2023,20600.2,26011.8,16.86,-2436.3
E12000005,West Midlands,holt,2,28,1996,2023,20697.5,27496.6,17.07,730.7
E12000005,West Midlands,linear_trend,2,28,1996,2023,31050.3,36708.1,25.09,-8989.8
E12000005,West Midlands,naive,2,28,1996,2023,16533.6,21705.4,12.94,-1963.6
E12000005,West Midlands,ses,2,28,1996,2023,16557.2,21735.5,12.96,-1966.9
E12000005,West Midlands,arima,3,27,1996,2022,32864.7,43211.8,26.64,-2587.4
E12000005,West Midlands,drift,3,27,1996,2022,25064.5,31182.3,20.72,-5419.9
E12000005,West Midlands,ets_damped,3,27,1996,2022,28068.7,34369.5,23.43,-3694.6
E12000005,West Midlands,holt,3,27,1996,2022,29948.1,38423.9,24.95,1508.2
E12000005,West Midlands,linear_trend,3,27,1996,2022,35763.2,42107.5,28.73,-11567.0
E12000005,West Midlands,naive,3,27,1996,2022,21258.4,28389.8,17.16,-2764.0
E12000005,West Midlands,ses,3,27,1996,2022,21287.0,28424.0,17.18,-2764.5
E12000005,West Midlands,arima,5,25,1996,2020,61863.9,79532.5,52.22,-4489.4
E12000005,West Midlands,drift,5,25,1996,2020,40386.1,47203.7,34.0,-8185.1
E12000005,West Midlands,ets_damped,5,25,1996,2020,44333.1,52110.9,37.62,-6250.6
E12000005,West Midlands,holt,5,25,1996,2020,48780.7,61606.8,41.23,4298.0
E12000005,West Midlands,linear_trend,5,25,1996,2020,45942.0,52904.1,36.16,-17219.2
E12000005,West Midlands,naive,5,25,1996,2020,33142.0,40841.3,27.52,-3716.6
E12000005,West Midlands,ses,5,25,1996,2020,33167.5,40846.7,27.54,-3714.3
E12000006,East of England,arima,1,29,1996,2024,9620.5,12082.9,8.75,192.9
E12000006,East of England,drift,1,29,1996,2024,7357.1,10601.4,6.54,-241.6
E12000006,East of England,ets_damped,1,29,1996,2024,8958.8,12079.1,8.11,-585.6
