region_code,region_name,model,horizon_years,n_origins,first_origin_year,last_origin_year,mae,rmse,mape_pct,mean_error_bias
E12000004,East Midlands,holt,3,27,1996,2022,18195.6,22494.2,18.35,-2266.6
E12000004,East Midlands,linear_trend,3,27,1996,2022,19782.9,24912.9,20.99,4678.5
E12000004,East Midlands,naive,3,27,1996,2022,13110.9,17071.6,13.54,2307.7
E12000004,East Midlands,ses,3,27,1996,2022,13136.9,17091.5,13.57,2321.0
E12000004,East Midlands,drift,5,25,1996,2020,24118.4,27894.8,24.99,3250.4
E12000004,East Midlands,holt,5,25,1996,2020,33036.7,40012.0,33.97,-4412.8
E12000004,East Midlands,linear_trend,5,25,1996,2020,25476.2,30458.2,27.08,4895.8
E12000004,East Midlands,naive,5,25,1996,2020,20725.6,25131.6,21.7,4043.7
E12000004,East Midlands,ses,5,25,1996,2020,20737.8,25149.8,21.72,4057.5
E12000005,West Midlands,drift,1,29,1996,2024,10511.1,13833.1,8.48,-1909.8
E12000005,West Midlands,holt,1,29,1996,2024,10959.3,15321.6,8.92,226.9
E12000005,West Midlands,linear_trend,1,29,1996,2024,26149.2,31328.3,21.26,-6570.2
E12000005,West Midlands,naive,1,29,1996,2024,10013.0,13357.1,8.0,-1052.3
E12000005,West Midlands,ses,1,29,1996,2024,10038.3,13397.0,8.02,-1057.0
E12000005,West Midlands,drift,2,28,1996,2023,18497.4,23183.3,14.8,-3709.9
E12000005,West Midlands,holt,2,28,1996,2023,20697.5,27496.6,17.07,730.7
E12000005,West Midlands,linear_trend,2,28,1996,2023,31050.3,36708.1,25.09,-8989.8
E12000005,West Midlands,naive,2,28,1996,2023,16533.6,21705.4,12.94,-1963.6
E12000005,West Midlands,ses,2,28,1996,2023,16557.2,21735.5,12.96,-1966.9
E12000005,West Midlands,drift,3,27,1996,2022,25064.5,31182.3,20.72,-5419.9
E12000005,West Midlands,holt,3,27,1996,2022,29948.1,38423.9,24.95,1508.2
E12000005,West Midlands,linear_trend,3,27,1996,2022,35763.2,42107.5,28.73,-11567.0
E12000005,West Midlands,naive,3,27,1996,2022,21258.4,28389.8,17.16,-2764.0
E12000005,West Midlands,ses,3,27,1996,2022,21287.0,28424.0,17.18,-2764.5
E12000005,West Midlands,drift,5,25,1996,2020,40386.1,47203.7,34.0,-8185.1
E12000005,West Midlands,holt,5,25,1996,2020,48780.7,61606.8,41.23,4298.0
E12000005,West Midlands,linear_trend,5,25,1996,2020,45942.0,52904.1,36.16,-17219.2
E12000005,West Midlands,naive,5,25,1996,2020,33142.0,40841.3,27.52,-3716.6
E12000005,West Midlands,ses,5,25,1996,2020,33167.5,40846.7,27.54,-3714.3
E12000006,East of England,drift,1,29,1996,2024,7357.1,10601.4,6.54,-241.6
E12000006,East of England,holt,1,29,1996,2024,8904.2,12324.7,8.04,39.4
E12000006,East of England,linear_trend,1,29,1996,2024,25934.7,28346.9,23.09,810.4
E12000006,East of England,naive,1,29,1996,2024,7341.1,10267.8,6.45,-58.0
E12000006,East of England,ses,1,29,1996,2024,7349.0,10301.3,6.45,-59.2
E12000006,East of England,drift,2,28,1996,2023,11885.3,18043.4,10.52,-684.1
E12000006,East of England,holt,2,28,1996,2023,15827.5,22828.5,14.27,-185.6
E12000006,East of England,linear_trend,2,28,1996,2023,31144.9,33209.5,27.58,-236.7
E12000006,East of England,naive,2,28,1996,2023,11203.2,16958.0,9.68,-345.2
E12000006,East of England,ses,2,28,1996,2023,11235.9,16983.8,9.71,-344.6
E12000006,East of England,drift,3,27,1996,2022,17485.6,24444.7,15.45,-839.9
E12000006,East of England,holt,3,27,1996,2022,22889.4,32546.9,20.62,217.6
E12000006,East of England,linear_trend,3,27,1996,2022,36462.7,38193.4,32.05,-1387.8
E12000006,East of England,naive,3,27,1996,2022,16039.1,22351.5,13.85,-393.9
E12000006,East of England,ses,3,27,1996,2022,16073.2,22371.1,13.87,-394.0
E12000006,East of England,drift,5,25,1996,2020,29171.5,36143.0,25.04,-1029.2
E12000006,East of England,holt,5,25,1996,2020,39727.1,52028.3,35.56,1266.9
E12000006,East of England,linear_trend,5,25,1996,2020,46717.8,48362.5,40.17,-3946.4
E12000006,East of England,naive,5,25,1996,2020,25642.4,31299.4,21.74,-461.4
E12000006,East of England,ses,5,25,1996,2020,25685.5,31320.0,21.78,-462.8
E12000007,London,drift,1,29,1996,2024,17778.1,25828.6,6.72,-5866.8
E12000007,London,holt,1,29,1996,2024,18219.9,28841.5,6.82,-3126.9
E12000007,London,linear_trend,1,29,1996,2024,56709.0,65232.8,20.91,-16633.0
E12000007,London,naive,1,29,1996,2024,17047.0,24816.2,6.23,-5598.4
E12000007,London,ses,1,29,1996,2024,17101.9,24893.9,6.24,-5655.3
E12000007,London,drift,2,28,1996,2023,33392.3,43781.4,12.48,-12039.0
E12000007,London,holt,2,28,1996,2023,33858.2,49283.2,12.96,-7335.6
E12000007,London,linear_trend,2,28,1996,2023,68556.9,77621.3,25.1,-21679.8
E12000007,London,naive,2,28,1996,2023,31154.8,40777.5,11.15,-11343.9
E12000007,London,ses,2,28,1996,2023,31267.8,40878.5,11.19,-11398.3
E12000007,London,drift,3,27,1996,2022,51306.4,62768.5,18.98,-18454.9
E12000007,London,holt,3,27,1996,2022,57795.9,76823.3,21.63,-12842.5
E12000007,London,linear_trend,3,27,1996,2022,81031.2,90660.6,29.33,-27258.9
E12000007,London,naive,3,27,1996,2022,46512.6,56761.0,16.58,-17190.7
E12000007,London,ses,3,27,1996,2022,46631.0,56851.2,16.62,-17241.1
E12000007,London,drift,5,25,1996,2020,88123.8,98405.1,31.34,-29748.2
E12000007,London,holt,5,25,1996,2020,108344.6,134784.1,39.28,-27318.5
